lambda,train_error,l1_norm,val_error
6.020894493336124924e+02,1.038879017683030179e+04,8.610356392043899687e-01,2.257586193525445651e+03
8.227241341700473640e+02,1.059346722513783970e+04,5.702491082918558218e-01,2.273945473345194387e+03
1.124210035062086263e+03,1.068806552300678413e+04,5.004015619337403020e-01,2.290090508749027777e+03
1.536174946671829730e+03,1.078048687228264498e+04,4.765990014985291290e-01,2.328382968621293003e+03
2.099103720108554626e+03,1.092089748138530194e+04,4.467855957509858089e-01,2.373860818300896426e+03
2.868316813342009027e+03,1.117366282059187870e+04,4.064911085029428994e-01,2.441160804786148674e+03
3.919406774847221186e+03,1.149232742435600085e+04,3.722143752062261890e-01,2.514732699794968539e+03
5.355666917706896129e+03,1.191872540513850981e+04,3.449784750492151941e-01,2.646954841781988762e+03
7.318242219076181755e+03,1.253702837896932397e+04,3.106899137595902083e-01,2.760195211306577221e+03
1.000000000000000000e+04,1.318819257964296230e+04,2.708946578205261302e-01,2.966274270970677662e+03
