lambda,train_error,l2_norm_sq,val_error
3.919406774847212915e+01,1.015297596130875172e+04,9.530760183573770972e-01,2.196565307547110478e+03
5.790443980602483265e+01,1.015424349044124938e+04,9.184833082362259260e-01,2.198501338035673143e+03
8.554672535565684655e+01,1.015683753773854551e+04,8.709430085060404503e-01,2.201391266522930891e+03
1.263848202934297120e+02,1.016200168273502095e+04,8.076465427371316563e-01,2.205685207768241071e+03
1.867181091291916744e+02,1.017190307629104791e+04,7.269887527756415668e-01,2.211990132982728028e+03
2.758531617629181483e+02,1.018997477396177055e+04,6.301110792381278136e-01,2.221044257259549795e+03
4.075392965871777733e+02,1.022100060753905564e+04,5.223780880869165477e-01,2.233612663141181656e+03
6.020894493336124924e+02,1.027065595742996629e+04,4.135260640481859817e-01,2.250340868826823680e+03
8.895134973108217764e+02,1.034468827507639253e+04,3.152520094794230010e-01,2.271762032744235057e+03
1.314147362611755398e+03,1.044898235858537919e+04,2.366999640333546928e-01,2.298777930832608035e+03
1.941491945743881615e+03,1.059239037134813589e+04,1.806517866728563071e-01,2.333778877924030439e+03
2.868316813342009027e+03,1.079286836361757014e+04,1.432779127056528767e-01,2.382071603586722631e+03
4.237587160604054588e+03,1.108422371385606311e+04,1.173434708370990481e-01,2.452695381358997565e+03
6.260516572014815210e+03,1.151757648912268451e+04,9.619008282620754302e-02,2.557332794482242662e+03
9.249147277217334704e+03,1.215064953148929271e+04,7.612404437903401433e-02,2.706337139706868584e+03
1.366448349295324442e+04,1.302238451017620901e+04,5.662611868584258024e-02,2.902664981030112358e+03
2.018760254679034915e+04,1.412260241086404494e+04,3.904641547376456329e-02,3.137259323198165475e+03
2.982471286216882072e+04,1.537851162430999648e+04,2.490099908101779322e-02,3.390055999589956173e+03
4.406236427773573087e+04,1.667376900866150390e+04,1.478888977545360708e-02,3.636924850655080263e+03
6.509675230458164151e+04,1.789012909032173411e+04,8.293563494812212361e-03,3.857957005443019625e+03
9.617248711152945179e+04,1.894395222638871928e+04,4.477740743123236576e-03,4.042131290224785516e+03
1.420830832533923676e+05,1.979911488359721625e+04,2.388508186337352790e-03,4.187191232245198989e+03
2.099103720108554407e+05,2.045879852832210963e+04,1.304090310507278463e-03,4.296785228244965765e+03
3.101168926574775251e+05,2.094903010817756876e+04,7.628935471079395210e-04,4.377307581140316870e+03
4.581597669054481667e+05,2.130420904659928419e+04,5.001542910216456340e-04,4.435699085383310376e+03
6.768750009458513232e+05,2.155836970698389996e+04,3.746305628595113148e-04,4.478391927500268139e+03
1.000000000000000000e+06,2.174180005172395977e+04,3.145301244227152260e-04,4.511145234973961124e+03
