problem,samples,dimension,gamma,L,m,condition_number_L_over_m,p_star
Linear regression,442,11,0.0,3557.4023031350616,7.567685167115158,470.0779993588399,1263985.7856333521
Logistic regression,569,31,1.0,1890.308692801188,1.0,1890.308692801188,37.778225729955835
